timestamp,value
2026-05-15T22:27:15,231
2026-05-15T22:27:30,236
2026-05-15T22:27:45,232
2026-05-15T22:28:00,234
2026-05-15T22:28:15,237
2026-05-15T22:28:30,232
2026-05-15T22:28:45,237
2026-05-15T22:29:00,236
2026-05-15T22:29:15,227
2026-05-15T22:29:30,226
2026-05-15T22:29:45,228
2026-05-15T22:30:00,220
2026-05-15T22:30:15,216
2026-05-15T22:30:30,221
2026-05-15T22:30:45,210
2026-05-15T22:31:00,215
2026-05-15T22:31:15,206
2026-05-15T22:31:30,201
2026-05-15T22:31:45,201
2026-05-15T22:32:00,194
2026-05-15T22:32:15,194
2026-05-15T22:32:30,190
2026-05-15T22:32:45,185
2026-05-15T22:33:00,186
2026-05-15T22:33:15,179
2026-05-15T22:33:30,178
2026-05-15T22:33:45,173
2026-05-15T22:34:00,171
2026-05-15T22:34:15,180
2026-05-15T22:34:30,179
2026-05-15T22:34:45,179
2026-05-15T22:35:00,174
2026-05-15T22:35:15,172
2026-05-15T22:35:30,182
2026-05-15T22:35:45,177
2026-05-15T22:36:00,185
2026-05-15T22:36:15,189
2026-05-15T22:36:30,188
2026-05-15T22:36:45,191
2026-05-15T22:37:00,197
2026-05-15T22:37:15,199
2026-05-15T22:37:30,206
2026-05-15T22:37:45,208
2026-05-15T22:38:00,207
2026-05-15T22:38:15,217
2026-05-15T22:38:30,212
2026-05-15T22:38:45,216
2026-05-15T22:39:00,225
2026-05-15T22:39:15,225
2026-05-15T22:39:30,233
2026-05-15T22:39:45,234
2026-05-15T22:40:00,229
2026-05-15T22:40:15,236
2026-05-15T22:40:30,238
2026-05-15T22:40:45,235
2026-05-15T22:41:00,236
2026-05-15T22:41:15,229
2026-05-15T22:41:30,228
2026-05-15T22:41:45,234
2026-05-15T22:42:00,226
2026-05-15T22:42:15,224
2026-05-15T22:42:30,225
2026-05-15T22:42:45,220
2026-05-15T22:43:00,223
2026-05-15T22:43:15,214
2026-05-15T22:43:30,207
2026-05-15T22:43:45,207
2026-05-15T22:44:00,202
2026-05-15T22:44:15,199
2026-05-15T22:44:30,193
2026-05-15T22:44:45,193
2026-05-15T22:45:00,191
2026-05-15T22:45:15,189
2026-05-15T22:45:30,185
2026-05-15T22:45:45,185
2026-05-15T22:46:00,183
2026-05-15T22:46:15,177
2026-05-15T22:46:30,178
2026-05-15T22:46:45,179
2026-05-15T22:47:00,170
2026-05-15T22:47:15,175
2026-05-15T22:47:30,175
2026-05-15T22:47:45,172
2026-05-15T22:48:00,182
2026-05-15T22:48:15,183
2026-05-15T22:48:30,178
2026-05-15T22:48:45,186
2026-05-15T22:49:00,191
2026-05-15T22:49:15,194
2026-05-15T22:49:30,194
2026-05-15T22:49:45,196
2026-05-15T22:50:00,202
2026-05-15T22:50:15,200
2026-05-15T22:50:30,207
2026-05-15T22:50:45,207
2026-05-15T22:51:00,214
2026-05-15T22:51:15,218
2026-05-15T22:51:30,218
2026-05-15T22:51:45,226
2026-05-15T22:52:00,224
2026-05-15T22:52:15,234
2026-05-15T22:52:30,233
2026-05-15T22:52:45,237
2026-05-15T22:53:00,236
2026-05-15T22:53:15,235
2026-05-15T22:53:30,230
2026-05-15T22:53:45,236
2026-05-15T22:54:00,230
2026-05-15T22:54:15,236
2026-05-15T22:54:30,230
2026-05-15T22:54:45,224
2026-05-15T22:55:00,230
2026-05-15T22:55:15,222
2026-05-15T22:55:30,224
2026-05-15T22:55:45,215
2026-05-15T22:56:00,215
2026-05-15T22:56:15,213
2026-05-15T22:56:30,203
2026-05-15T22:56:45,203
2026-05-15T22:57:00,193
2026-05-15T22:57:15,199
2026-05-15T22:57:30,192
2026-05-15T22:57:45,192
2026-05-15T22:58:00,187
2026-05-15T22:58:15,186
2026-05-15T22:58:30,175
2026-05-15T22:58:45,182
2026-05-15T22:59:00,177
2026-05-15T22:59:15,176
2026-05-15T22:59:30,176
2026-05-15T22:59:45,177
2026-05-15T23:00:00,171
2026-05-15T23:00:15,180
2026-05-15T23:00:30,178
2026-05-15T23:00:45,182
2026-05-15T23:01:00,182
2026-05-15T23:01:15,185
2026-05-15T23:01:30,186
2026-05-15T23:01:45,187
2026-05-15T23:02:00,196
2026-05-15T23:02:15,196
2026-05-15T23:02:30,204
2026-05-15T23:02:45,201
2026-05-15T23:03:00,206
2026-05-15T23:03:15,215
2026-05-15T23:03:30,213
2026-05-15T23:03:45,214
2026-05-15T23:04:00,217
2026-05-15T23:04:15,224
2026-05-15T23:04:30,224
2026-05-15T23:04:45,228
2026-05-15T23:05:00,229
2026-05-15T23:05:15,228
2026-05-15T23:05:30,233
2026-05-15T23:05:45,235
2026-05-15T23:06:00,237
2026-05-15T23:06:15,233
2026-05-15T23:06:30,229
2026-05-15T23:06:45,228
2026-05-15T23:07:00,227
2026-05-15T23:07:15,230
2026-05-15T23:07:30,222
2026-05-15T23:07:45,220
2026-05-15T23:08:00,216
2026-05-15T23:08:15,218
2026-05-15T23:08:30,215
2026-05-15T23:08:45,210
2026-05-15T23:09:00,204
2026-05-15T23:09:15,203
2026-05-15T23:09:30,202
2026-05-15T23:09:45,191
2026-05-15T23:10:00,194
2026-05-15T23:10:15,189
2026-05-15T23:10:30,188
2026-05-15T23:10:45,187
2026-05-15T23:11:00,179
2026-05-15T23:11:15,178
2026-05-15T23:11:30,181
2026-05-15T23:11:45,178
2026-05-15T23:12:00,175
2026-05-15T23:12:15,172
2026-05-15T23:12:30,170
2026-05-15T23:12:45,177
2026-05-15T23:13:00,181
2026-05-15T23:13:15,175
2026-05-15T23:13:30,181
2026-05-15T23:13:45,187
2026-05-15T23:14:00,184
2026-05-15T23:14:15,185
2026-05-15T23:14:30,190
2026-05-15T23:14:45,198
